"V1" "V2" "V3"
"1" 2.317714811402e-12 0.999999999997682 4.78933794886384e-65
"2" 7.40715257649661e-10 0.999999999259285 1.13857449620178e-86
"3" 1.68333350580613e-12 0.999999999998317 1.48567848147417e-129
"4" 7.12580808819343e-10 0.999999999287419 1.29629324311345e-66
"5" 1.25497258799029e-08 0.999999987450274 2.28100467929466e-116
"6" 6.76693693226468e-09 0.999999993233063 7.36620764936077e-94
"7" 4.97403243456136e-12 0.999999999995026 2.05699615289448e-109
"8" 3.29287224871185e-11 0.999999999967071 1.62138516468112e-88
"9" 4.6815257470056e-11 0.999999999953185 2.27155664857717e-96
"10" 1.64341474265666e-10 0.999999999835658 6.11748401075336e-108
"11" 6.99661260757072e-13 0.9999999999993 2.22630308063208e-125
"12" 2.20422104824067e-08 0.99999997795779 1.14095284499775e-41
"13" 3.16674925560482e-12 0.999999999996833 3.39196620114487e-89
"14" 2.99633978286167e-12 0.999999999997004 2.06761270883077e-33
"15" 2.09850379747962e-10 0.99999999979015 1.35072988538862e-98
"16" 7.02205680221506e-09 0.999999992977943 1.73739449307237e-94
"17" 2.13590505056928e-11 0.999999999978641 3.0086104927858e-65
"18" 8.87999316896191e-10 0.999999999112001 7.2876447645268e-97
"19" 1.21110021293071e-06 0.999998788899787 2.91911209872549e-134
"20" 9.41232324342417e-10 0.999999999058768 4.2660676087174e-79
"21" 4.72134141837704e-16 1 8.65339409779543e-82
"22" 5.90139448052829e-10 0.999999999409861 4.47227655517211e-139
"23" 2.41068643997325e-09 0.999999997589314 1.81677889161875e-78
"24" 1.21225699192803e-08 0.99999998787743 2.54520249968857e-78
"25" 8.85037905731139e-07 0.999999114962094 2.10843560644824e-125
"26" 2.70793279034317e-10 0.999999999729207 8.96221155574099e-51
"27" 3.19393509613207e-11 0.999999999968061 7.76335551311457e-75
"28" 3.79015829976642e-12 0.99999999999621 3.9020053029693e-81
"29" 5.96554081003985e-09 0.999999994034459 8.27343814090798e-104
"30" 7.52497885013679e-11 0.99999999992475 5.79591421971773e-86
"31" 2.52448427057175e-12 0.999999999997475 3.35419819562642e-79
"32" 8.46673156230133e-09 0.999999991533268 2.31643036034015e-53
"33" 2.64150721442321e-10 0.999999999735849 5.63822095184021e-74
"34" 1.37203615034766e-11 0.99999999998628 7.28933954928859e-120
"35" 2.33579767276919e-07 0.999999766420233 1.40534059008616e-84
"36" 2.31890586944609e-13 0.999999999999768 7.25776376778959e-87
"37" 6.33525807527339e-12 0.999999999993665 3.32359779498901e-123
"38" 2.04747881167514e-10 0.999999999795252 1.91270528757702e-87
"39" 2.2134731908372e-10 0.999999999778653 3.84053433103452e-78
"40" 4.56458032634455e-07 0.999999543541967 8.1961319843585e-103
"41" 4.91433994155518e-10 0.999999999508566 2.15736329975465e-83
"42" 1.65287316217739e-11 0.999999999983471 2.11663675874242e-170
"43" 7.13415773206108e-10 0.999999999286584 2.40915394793158e-92
"44" 7.60424078539397e-11 0.999999999923958 1.08337774067332e-138
"45" 1.53964476619389e-10 0.999999999846036 5.55202926862267e-43
"46" 7.12468036633391e-10 0.999999999287532 5.81018013986046e-83
"47" 2.99994682305119e-14 0.99999999999997 9.57529580140182e-70
"48" 7.26946912057309e-15 0.999999999999993 3.16411683004727e-116
"49" 7.20015152120259e-11 0.999999999927998 4.56660808622122e-120
"50" 1.30897862885175e-15 0.999999999999999 1.057846522212e-95
"51" 2.2260413906704e-11 0.99999999997774 8.49917179694338e-72
"52" 6.18079419877025e-08 0.999999938192058 8.96307160959124e-109
"53" 2.78810612670785e-09 0.999999997211894 6.67989951383612e-146
"54" 5.18840708040914e-09 0.999999994811593 3.55616654651646e-51
"55" 5.6250846132022e-10 0.999999999437492 1.83115330154799e-76
"56" 5.12262542409643e-11 0.999999999948774 5.55551816385847e-89
"57" 1.67835840148947e-07 0.99999983216416 5.33910495148724e-141
"58" 3.93097774683091e-11 0.99999999996069 1.24962927512851e-101
